Particle,Type,Generation,Mass_MeV,Uncertainty_MeV,Charge,Spin
Electron,Lepton,1,0.51099895,1.5e-10,-1,0.5
Muon,Lepton,2,105.6583755,2.3e-06,-1,0.5
Tau,Lepton,3,1776.86,0.12,-1,0.5
Nu_e,Neutrino,1,0.0,8e-07,0,0.5
Nu_mu,Neutrino,2,0.0,0.17,0,0.5
Nu_tau,Neutrino,3,0.0,18.2,0,0.5
Up,Quark,1,2.16,0.49,0.6666666666666666,0.5
Down,Quark,1,4.67,0.48,-0.3333333333333333,0.5
Charm,Quark,2,1270.0,20.0,0.6666666666666666,0.5
Strange,Quark,2,93.4,8.6,-0.3333333333333333,0.5
Top,Quark,3,172690.0,300.0,0.6666666666666666,0.5
Bottom,Quark,3,4180.0,30.0,-0.3333333333333333,0.5
Photon,Boson,0,0.0,0.0,0,1.0
Gluon,Boson,0,0.0,0.0,0,1.0
W,Boson,0,80377.0,12.0,1,1.0
Z,Boson,0,91187.6,2.1,0,1.0
Higgs,Boson,0,125250.0,170.0,0,0.0
