step,time,omega,kinetic,potential,entropy,gradient_norm,max_density,min_density,is_stable,Qubits,States,Iterations,Fidelity
2,0.0017271041870117188,4.440892098500626e-16,1.0,0.0,2.0,0.0,0.0,0.0,True,2,4,1,0.9999999999999996
3,0.0015716552734375,0.054687500000000444,2.0,0.0,3.0,0.0,0.0,0.0,True,3,8,2,0.9453124999999996
4,0.001241445541381836,0.03868103027343772,3.0,0.0,4.0,0.0,0.0,0.0,True,4,16,3,0.9613189697265623
5,0.0009944438934326172,0.0008176844567074903,4.0,0.0,5.0,0.0,0.0,0.0,True,5,32,4,0.9991823155432925
6,0.0012104511260986328,0.0034143192132010114,6.0,0.0,6.0,0.0,0.0,0.0,True,6,64,6,0.996585680786799
7,0.0010678768157958984,0.004380134305677741,8.0,0.0,7.0,0.0,0.0,0.0,True,7,128,8,0.9956198656943223
8,0.0012133121490478516,5.295789672643547e-05,12.0,0.0,8.0,0.0,0.0,0.0,True,8,256,12,0.9999470421032736
9,0.001390218734741211,0.0005519738459900392,17.0,0.0,9.0,0.0,0.0,0.0,True,9,512,17,0.99944802615401
10,0.0014429092407226562,0.0005387552555914388,25.0,0.0,10.0,0.0,0.0,0.0,True,10,1024,25,0.9994612447444086
11,0.001987457275390625,3.1522233764347263e-06,35.0,0.0,11.0,0.0,0.0,0.0,True,11,2048,35,0.9999968477766236
12,0.0022013187408447266,5.465389088088468e-05,50.0,0.0,12.0,0.0,0.0,0.0,True,12,4096,50,0.9999453461091191
13,0.0035338401794433594,8.422475057878742e-05,71.0,0.0,13.0,0.0,0.0,0.0,True,13,8192,71,0.9999157752494212
14,0.004605531692504883,2.1888577772521955e-07,100.0,0.0,14.0,0.0,0.0,0.0,True,14,16384,100,0.9999997811142223
15,0.012247085571289062,1.3170481040325477e-05,142.0,0.0,15.0,0.0,0.0,0.0,True,15,32768,142,0.9999868295189597
16,0.07509994506835938,1.1740353835221207e-05,201.0,0.0,16.0,0.0,0.0,0.0,True,16,65536,201,0.9999882596461648
17,0.16692090034484863,7.412834516218325e-07,284.0,0.0,17.0,0.0,0.0,0.0,True,17,131072,284,0.9999992587165484
